value,ok,error,vout_v,iref_a,i_voutsrc_a,iout_a,error_rel,v_ibias_v,v_iout_v
0.0,True,,0.0,1e-05,9.06042173417132e-68,-9.06042173417132e-68,-1.0,-0.7691448709469334,0.0
0.1,True,,0.1,1e-05,-1.0103029524088925e-13,1.0103029524088925e-13,-0.9999999898969705,-0.7691448709469334,0.09999999999999999
0.2,True,,0.2,1e-05,-2.0117241206207837e-13,2.0117241206207837e-13,-0.9999999798827588,-0.7691448709469334,0.19999999999999998
0.3,True,,0.3,1e-05,-3.0109248427834245e-13,3.0109248427834245e-13,-0.9999999698907516,-0.7691448709469334,0.3
0.4,True,,0.4,1e-05,-4.0101255649460654e-13,4.0101255649460654e-13,-0.9999999598987444,-0.7691448709469334,0.39999999999999997
0.5,True,,0.5,1e-05,-5.009326287108706e-13,5.009326287108706e-13,-0.9999999499067371,-0.7691448709469334,0.5
0.6,True,,0.6,1e-05,-6.012967901369848e-13,6.012967901369848e-13,-0.999999939870321,-0.7691448709469334,0.6
0.7,True,,0.7,1e-05,-7.016609515630989e-13,7.016609515630989e-13,-0.9999999298339048,-0.7691448709469334,0.7
0.8,True,,0.8,1e-05,-8.01136934569513e-13,8.01136934569513e-13,-0.9999999198863065,-0.7691448709469334,0.7999999999999999
0.9,True,,0.9,1e-05,-9.015010959956271e-13,9.015010959956271e-13,-0.9999999098498904,-0.7691448709469334,0.9
1.0,True,,1.0,1e-05,-1.0018652574217413e-12,1.0018652574217413e-12,-0.9999998998134743,-0.7691448709469334,1.0
1.1,True,,1.1,1e-05,-1.1004530620084552e-12,1.1004530620084552e-12,-0.9999998899546938,-0.7691448709469334,1.1
1.2,True,,1.2,1e-05,-1.2025935802739696e-12,1.2025935802739696e-12,-0.999999879740642,-0.7691448709469334,1.2000000000000002
1.3,True,,1.3,1e-05,-1.3038459201197838e-12,1.3038459201197838e-12,-0.999999869615408,-0.7691448709469334,1.3
1.4,True,,1.4,1e-05,-1.4033219031261979e-12,1.4033219031261979e-12,-0.9999998596678097,-0.7691448709469334,1.4000000000000001
1.5,True,,1.5,1e-05,-1.5027978861326119e-12,1.5027978861326119e-12,-0.9999998497202114,-0.7691448709469334,1.5000000000000002
1.6,True,,1.6,1e-05,-1.602273869139026e-12,1.602273869139026e-12,-0.9999998397726131,-0.7691448709469334,1.6
1.7,True,,1.7,1e-05,-1.7035262089848402e-12,1.7035262089848402e-12,-0.9999998296473791,-0.7691448709469334,1.7000000000000002
1.8,True,,1.8,1e-05,-1.8030021919912542e-12,1.8030021919912542e-12,-0.9999998196997808,-0.7691448709469334,1.8
